,pid,iid,rate
431,236,526,7
432,236,527,5
433,236,536,7
434,236,538,7
435,236,539,6
436,236,540,7
437,236,541,6
438,236,542,7
439,236,543,7
440,236,544,6
441,236,545,6
442,236,546,7
443,236,550,7
444,236,551,7
445,236,552,7
446,237,235,5
447,237,237,6
448,237,241,5
449,237,243,5
450,237,246,4
451,237,248,4
452,237,250,5
453,237,251,6
454,237,252,6
455,237,253,5
456,237,256,5
457,237,257,5
458,237,259,5
459,237,260,5
460,237,261,6
461,237,262,4
462,237,266,5
463,237,267,6
464,237,273,6
465,237,274,5
466,237,275,5
467,237,277,5
468,237,278,6
469,237,279,6
470,237,282,5
471,237,283,5
472,237,284,6
473,237,287,4
474,237,289,5
475,237,291,5
476,237,292,5
477,237,294,5
478,237,296,6
479,237,297,6
480,237,301,5
481,237,302,6
482,237,305,5
483,237,306,5
484,237,307,5
485,237,311,5
486,237,312,5
487,237,314,5
488,237,324,5
489,237,327,5
490,237,328,6
491,237,329,5
492,237,330,5
493,237,332,6
494,237,333,5
495,237,335,5
496,237,338,5
497,237,339,5
498,237,341,5
499,237,343,5
500,237,344,6
501,237,345,6
502,237,348,5
503,237,349,5
504,237,351,5
505,237,352,4
506,237,354,5
507,237,356,5
508,237,357,6
509,237,360,5
510,237,362,5
511,237,364,6
512,237,367,5
513,237,368,5
514,237,370,5
515,237,371,5
516,237,372,5
517,237,373,5
518,237,374,5
519,237,375,5
520,237,377,7
521,237,378,5
522,237,387,5
523,237,388,5
524,237,389,6
525,237,391,6
526,237,392,5
527,237,393,5
528,237,403,6
529,237,404,6
530,237,415,5
531,237,417,4
532,237,420,5
533,237,421,6
534,237,423,5
535,237,431,5
536,237,432,6
537,237,433,5
538,237,441,5
539,237,442,6
540,237,444,6
541,237,449,6
542,237,450,5
543,237,451,6
544,237,454,5
545,237,456,5
546,237,457,5
547,237,458,6
548,237,461,5
549,237,462,5
550,237,463,4
551,237,466,5
552,237,467,6
553,237,468,5
554,237,470,6
555,237,475,5
556,237,482,5
557,237,484,6
558,237,486,6
559,237,487,5
560,237,488,5
561,237,489,5
562,237,490,5
563,237,491,6
564,237,492,6
565,237,493,6
566,237,496,5
567,237,501,5
568,237,502,5
569,237,506,5
570,237,508,5
571,237,510,5
572,237,515,5
573,237,523,5
574,237,524,5
575,237,525,6
576,237,527,4
577,237,528,6
578,237,529,6
579,237,530,4
580,237,531,6
581,237,533,5
582,237,534,5
583,237,535,5
584,237,538,6
585,237,540,5
586,237,545,5
587,237,546,5
588,237,551,5
589,237,552,5
590,238,236,7
591,238,237,7
592,238,242,7
593,238,243,7
594,238,246,6
595,238,248,5
596,238,249,6
597,238,250,7
598,238,258,6
599,238,260,6
600,238,263,7
601,238,264,7
602,238,265,6
603,238,269,7
604,238,270,6
605,238,273,7
606,238,275,6
607,238,276,6
608,238,279,7
609,238,281,6
610,238,282,7
611,238,283,7
612,238,285,7
613,238,291,6
614,238,294,7
615,238,295,6
616,238,296,7
617,238,297,8
618,238,298,6
619,238,299,6
620,238,302,7
621,238,305,6
622,238,307,6
623,238,309,6
624,238,311,7
625,238,312,6
626,238,314,7
627,238,316,7
628,238,317,6
629,238,320,6
630,238,326,7
631,238,330,6
632,238,335,6
633,238,337,6
634,238,339,6
635,238,341,7
636,238,342,7
637,238,345,7
638,238,349,7
639,238,351,6
640,238,352,6
641,238,355,8
642,238,356,6
643,238,360,6
644,238,362,7
645,238,363,7
646,238,366,6
647,238,367,6
648,238,369,7
649,238,371,7
650,238,375,6
651,238,381,7
652,238,384,7
653,238,387,6
654,238,388,6
655,238,396,6
656,238,398,7
657,238,403,7
658,238,406,7
659,238,407,7
660,238,408,7
661,238,409,6
662,238,412,7
663,238,413,7
664,238,416,6
665,238,421,7
666,238,422,7
667,238,430,6
668,238,431,6
669,238,432,7
670,238,433,7
671,238,434,7
672,238,435,7
673,238,436,7
674,238,438,6
675,238,442,7
676,238,445,7
677,238,447,7
678,238,449,7
679,238,450,6
680,238,455,6
681,238,456,7
682,238,462,6
683,238,464,7
684,238,466,6
685,238,469,7
686,238,470,7
687,238,471,6
688,238,472,7
689,238,480,6
690,238,483,7
691,238,486,7
692,238,488,7
693,238,492,7
694,238,494,6
695,238,495,6
696,238,496,6
697,238,499,6
698,238,500,7
699,238,501,6
700,238,502,7
701,238,504,7
702,238,506,6
703,238,510,7
704,238,511,6
705,238,512,6
706,238,514,6
707,238,515,7
708,238,517,6
709,238,520,6
710,238,522,6
711,238,524,7
712,238,526,7
713,238,527,5
714,238,528,7
715,238,529,7
716,238,531,7
717,238,535,6
718,238,536,7
719,238,537,5
720,238,538,7
721,238,539,6
722,238,542,7
723,238,543,7
724,238,545,6
725,238,548,6
726,238,549,6
727,238,550,7
728,239,236,6
729,239,237,6
730,239,238,6
731,239,242,6
732,239,246,5
733,239,252,6
734,239,256,6
735,239,259,6
736,239,260,6
737,239,262,5
738,239,265,5
739,239,266,6
740,239,267,6
741,239,268,6
742,239,270,5
743,239,271,6
744,239,273,6
745,239,279,7
746,239,283,6
747,239,284,7
748,239,285,6
749,239,286,5
750,239,287,5
751,239,289,6
752,239,290,6
753,239,293,6
754,239,295,6
755,239,296,6
756,239,300,6
757,239,304,5
758,239,307,6
759,239,311,6
760,239,312,6
761,239,313,6
762,239,317,5
763,239,320,6
764,239,326,6
765,239,333,6
766,239,335,6
767,239,340,7
768,239,344,6
769,239,346,6
770,239,351,6
771,239,355,7
772,239,357,6
773,239,360,6
774,239,363,6
775,239,364,6
776,239,367,6
777,239,368,5
778,239,369,6
779,239,371,6
780,239,373,6
781,239,374,6
782,239,378,6
783,239,381,6
784,239,382,6
785,239,384,6
786,239,386,6
787,239,387,6
788,239,388,6
789,239,389,6
790,239,391,7
791,239,395,6
792,239,396,6
793,239,401,6
794,239,409,5
795,239,411,7
796,239,415,5
797,239,416,5
798,239,420,6
799,239,421,6
800,239,422,6
801,239,423,6
802,239,428,6
803,239,433,6
804,239,435,6
805,239,437,5
806,239,438,5
807,239,440,6
808,239,442,7
809,239,443,6
810,239,444,7
811,239,445,6
812,239,449,6
813,239,451,7
814,239,456,6
815,239,457,5
816,239,458,7
817,239,461,6
818,239,463,5
819,239,464,6
820,239,466,5
821,239,468,6
822,239,471,5
823,239,472,6
824,239,474,6
825,239,475,5
826,239,477,6
827,239,482,6
828,239,483,7
829,239,485,6
830,239,487,5
831,239,489,6
832,239,490,6
833,239,491,6
834,239,492,6
835,239,496,5
836,239,503,7
837,239,504,6
838,239,506,5
839,239,510,6
840,239,511,5
841,239,512,5
842,239,514,5
843,239,515,6
844,239,516,6
845,239,517,5
846,239,520,6
847,239,523,6
848,239,526,6
849,239,527,4
850,239,528,7
851,239,530,5
852,239,531,7
853,239,540,6
854,239,541,6
855,239,545,6
856,239,550,6
857,240,234,5
858,240,237,5
859,240,238,4
860,240,239,4
861,240,241,4
862,240,242,5
863,240,243,5
864,240,244,4
865,240,245,4
866,240,247,4
867,240,248,4
868,240,249,4
869,240,250,5
870,240,253,4
871,240,256,5
872,240,258,4
873,240,259,5
874,240,260,4
875,240,261,5
876,240,263,5
877,240,264,5
878,240,269,5
879,240,270,4
880,240,271,5
881,240,273,5
882,240,274,5
883,240,277,4
884,240,279,5
885,240,283,5
886,240,285,5
887,240,286,4
888,240,287,4
889,240,288,5
890,240,292,4
891,240,293,4
892,240,294,5
893,240,295,5
894,240,299,5
895,240,302,5
896,240,303,5
897,240,305,4
898,240,306,5
899,240,307,5
900,240,308,4
901,240,309,4
902,240,311,4
903,240,314,5
904,240,324,4
905,240,325,4
906,240,326,5
907,240,335,4
908,240,336,5
909,240,337,4
910,240,340,5
911,240,341,5
912,240,342,5
913,240,343,4
914,240,344,5
915,240,345,5
916,240,346,4
917,240,351,5
918,240,352,4
919,240,354,4
920,240,356,4
921,240,361,4
922,240,363,5
923,240,364,5
924,240,366,4
925,240,367,4
926,240,374,5
927,240,378,4
928,240,381,5
929,240,388,4
930,240,392,4
931,240,393,4
932,240,394,4
933,240,395,5
934,240,396,4
935,240,397,5
936,240,403,5
937,240,404,5
938,240,407,5
939,240,411,5
940,240,413,5
941,240,416,4
942,240,420,5
943,240,421,5
944,240,422,5
945,240,423,5
946,240,430,4
947,240,431,5
948,240,433,5
949,240,434,5
950,240,437,4
951,240,438,4
952,240,440,5
953,240,441,5
954,240,442,5
955,240,444,5
956,240,447,5
957,240,448,5
958,240,450,4
959,240,452,5
960,240,454,4
961,240,456,5
962,240,458,6
963,240,461,4
964,240,462,4
965,240,466,4
966,240,467,5
967,240,472,5
968,240,473,5
969,240,477,4
970,240,482,4
971,240,486,5
972,240,487,4
973,240,488,5
974,240,489,5
975,240,491,5
976,240,493,5
977,240,496,4
978,240,501,4
979,240,502,5
980,240,503,5
981,240,504,5
982,240,508,4
983,240,509,4
984,240,510,5
985,240,511,4
986,240,516,5
987,240,518,6
988,240,526,5
989,240,527,3
990,240,530,4
991,240,533,5
992,240,534,4
993,240,538,5
994,240,539,4
995,240,541,4
996,240,542,5
997,240,543,5
998,240,546,5
999,240,549,4
1000,240,551,4
1001,241,236,6
1002,241,238,6
1003,241,239,6
1004,241,240,7
1005,241,242,7
1006,241,243,6
1007,241,248,5
1008,241,249,6
1009,241,250,6
1010,241,251,7
1011,241,257,6
1012,241,261,7
1013,241,262,5
1014,241,266,6
1015,241,268,6
1016,241,270,6
1017,241,275,6
1018,241,278,7
1019,241,282,6
1020,241,284,7
1021,241,287,5
1022,241,288,7
1023,241,289,6
1024,241,290,6
1025,241,291,6
1026,241,293,6
1027,241,299,6
1028,241,301,6
1029,241,303,7
1030,241,305,6
1031,241,307,6
1032,241,308,6
1033,241,312,6
1034,241,313,6
1035,241,319,6
1036,241,320,6
1037,241,323,6
1038,241,324,6
1039,241,326,6
1040,241,327,6
1041,241,328,7
1042,241,329,6
1043,241,332,7
1044,241,333,6
1045,241,336,7
1046,241,337,6
1047,241,338,7
1048,241,339,6
1049,241,340,7
1050,241,342,7
1051,241,343,6
1052,241,348,6
1053,241,349,6
1054,241,352,5
1055,241,354,6
1056,241,355,7
1057,241,356,6
1058,241,357,7
1059,241,360,6
1060,241,361,6
1061,241,362,6
1062,241,363,7
1063,241,369,6
1064,241,370,7
1065,241,371,6
1066,241,372,6
1067,241,377,8
1068,241,378,6
1069,241,381,7
1070,241,383,6
1071,241,384,6
1072,241,386,6
1073,241,388,6
1074,241,389,7
1075,241,391,7
1076,241,392,6
1077,241,393,6
1078,241,395,6
1079,241,396,6
1080,241,398,6
1081,241,402,7
1082,241,403,7
1083,241,405,6
1084,241,406,6
1085,241,407,6
1086,241,409,6
1087,241,412,6
1088,241,417,5
1089,241,418,6
1090,241,428,6
1091,241,429,6
1092,241,431,6
1093,241,432,7
1094,241,434,6
1095,241,437,5
1096,241,438,6
1097,241,442,7
1098,241,443,6
1099,241,445,6
1100,241,448,6
1101,241,450,6
1102,241,452,7
1103,241,455,6
1104,241,456,6
1105,241,463,5
1106,241,467,7
1107,241,469,6
1108,241,470,7
1109,241,472,7
1110,241,473,6
1111,241,474,6
1112,241,475,6
1113,241,477,6
1114,241,481,5
1115,241,484,7
1116,241,485,6
1117,241,488,7
1118,241,489,6
1119,241,491,7
1120,241,493,7
1121,241,494,5
1122,241,495,6
1123,241,501,6
1124,241,502,6
1125,241,503,7
1126,241,504,6
1127,241,508,6
1128,241,511,6
1129,241,512,5
1130,241,516,6
1131,241,517,6
1132,241,523,6
1133,241,524,6
1134,241,529,7
1135,241,531,7
1136,241,533,6
1137,241,535,6
1138,241,536,6
1139,241,538,7
1140,241,543,6
1141,241,548,6
1142,241,549,6
1143,241,550,6
1144,242,236,6
1145,242,240,6
1146,242,241,7
1147,242,242,6
1148,242,243,6
1149,242,245,6
1150,242,248,5
1151,242,249,6
1152,242,250,6
1153,242,251,7
1154,242,253,6
1155,242,255,7
1156,242,256,6
1157,242,257,6
1158,242,258,6
1159,242,259,6
1160,242,260,6
1161,242,261,7
1162,242,263,6
1163,242,266,6
1164,242,267,7
1165,242,268,6
1166,242,269,6
1167,242,270,6
1168,242,271,6
1169,242,273,7
1170,242,274,6
1171,242,277,6
1172,242,284,7
1173,242,285,6
1174,242,286,5
1175,242,287,5
1176,242,288,7
1177,242,289,6
1178,242,291,6
1179,242,293,6
1180,242,297,7
1181,242,299,6
1182,242,301,6
1183,242,302,7
1184,242,308,6
1185,242,311,6
1186,242,316,7
1187,242,320,6
1188,242,325,5
1189,242,332,7
1190,242,333,6
1191,242,335,6
1192,242,336,6
1193,242,337,6
1194,242,339,6
1195,242,342,7
1196,242,343,6
1197,242,344,6
1198,242,345,7
1199,242,346,6
1200,242,348,6
1201,242,351,6
1202,242,352,5
1203,242,354,6
1204,242,356,6
1205,242,363,7
1206,242,364,7
1207,242,366,6
1208,242,367,6
1209,242,370,7
1210,242,378,6
1211,242,382,6
1212,242,384,6
1213,242,388,6
1214,242,389,6
1215,242,392,6
1216,242,393,6
1217,242,394,6
1218,242,401,7
1219,242,405,6
1220,242,407,6
1221,242,409,6
1222,242,412,7
1223,242,413,6
1224,242,416,5
1225,242,420,6
1226,242,421,7
1227,242,428,6
1228,242,430,6
1229,242,432,7
1230,242,435,6
1231,242,440,7
1232,242,443,6
1233,242,445,7
1234,242,447,6
1235,242,448,6
1236,242,450,6
1237,242,451,7
1238,242,452,7
1239,242,455,6
1240,242,457,6
1241,242,458,7
1242,242,461,6
1243,242,462,6
1244,242,463,5
1245,242,467,7
1246,242,471,6
1247,242,472,6
1248,242,480,6
1249,242,482,6
1250,242,484,6
1251,242,488,6
1252,242,489,6
1253,242,494,5
1254,242,499,6
1255,242,500,7
1256,242,503,7
1257,242,504,7
1258,242,507,6
1259,242,510,6
1260,242,511,6
1261,242,514,6
1262,242,515,6
1263,242,518,7
1264,242,520,6
1265,242,523,6
1266,242,524,6
1267,242,525,6
1268,242,526,6
1269,242,527,5
1270,242,528,7
1271,242,529,6
1272,242,531,7
1273,242,535,6
1274,242,537,5
1275,242,538,7
1276,242,539,6
1277,242,540,6
1278,242,541,6
1279,242,542,6
1280,242,544,6
1281,242,546,6
1282,242,548,6
1283,242,550,7
1284,243,236,6
1285,243,240,6
1286,243,241,6
1287,243,242,6
1288,243,243,6
1289,243,244,6
1290,243,247,5
1291,243,248,5
1292,243,250,6
1293,243,253,5
1294,243,256,6
1295,243,261,6
1296,243,264,6
1297,243,266,6
1298,243,269,6
1299,243,271,6
1300,243,273,6
1301,243,278,6
1302,243,281,5
1303,243,282,6
1304,243,284,7
1305,243,287,5
1306,243,288,7
1307,243,289,6
1308,243,292,6
1309,243,293,6
1310,243,295,6
1311,243,299,6
1312,243,300,6
1313,243,301,5
1314,243,303,6
1315,243,304,5
1316,243,305,5
1317,243,307,6
1318,243,311,6
1319,243,313,6
1320,243,316,6
1321,243,317,5
1322,243,326,6
1323,243,327,5
1324,243,329,6
1325,243,332,6
1326,243,333,6
1327,243,337,5
1328,243,341,6
1329,243,342,6
1330,243,343,5
1331,243,344,6
1332,243,345,6
1333,243,346,6
1334,243,349,6
1335,243,354,5
1336,243,355,7
1337,243,356,5
1338,243,357,6
1339,243,359,5
1340,243,360,6
1341,243,362,6
1342,243,363,6
1343,243,365,5
1344,243,367,5
1345,243,372,6
1346,243,373,6
1347,243,375,5
1348,243,382,6
1349,243,386,6
1350,243,387,5
1351,243,389,6
1352,243,391,7
1353,243,392,5
1354,243,395,6
1355,243,397,6
1356,243,398,6
1357,243,401,6
1358,243,403,6
1359,243,405,6
1360,243,408,6
1361,243,409,5
1362,243,412,6
1363,243,415,5
1364,243,416,5
1365,243,429,6
1366,243,430,5
1367,243,431,6
1368,243,432,7
1369,243,433,6
1370,243,435,6
1371,243,436,6
1372,243,445,6
1373,243,447,6
1374,243,449,6
1375,243,451,6
1376,243,456,6
1377,243,462,5
1378,243,463,5
1379,243,464,6
1380,243,468,6
1381,243,470,6
1382,243,472,6
1383,243,477,5
1384,243,481,5
1385,243,482,6
1386,243,483,7
1387,243,486,6
1388,243,490,5
1389,243,491,6
1390,243,494,5
1391,243,501,5
1392,243,507,6
1393,243,509,4
1394,243,512,5
1395,243,514,5
1396,243,516,6
1397,243,518,7
1398,243,520,6
1399,243,521,6
1400,243,524,6
1401,243,525,6
1402,243,526,6
1403,243,527,4
1404,243,529,6
1405,243,534,6
1406,243,535,5
1407,243,537,5
1408,243,538,6
1409,243,539,5
1410,243,542,6
1411,243,543,6
1412,243,548,5
1413,243,549,6
1414,243,550,6
1415,244,234,6
1416,244,235,6
1417,244,239,6
1418,244,240,7
1419,244,243,6
1420,244,244,6
1421,244,245,6
1422,244,246,5
1423,244,247,5
1424,244,251,7
1425,244,256,6
1426,244,260,6
1427,244,263,6
1428,244,266,6
1429,244,268,6
1430,244,271,7
1431,244,272,7
1432,244,275,6
1433,244,276,6
1434,244,277,6
1435,244,278,7
1436,244,286,5
1437,244,290,6
1438,244,292,6
1439,244,293,6
1440,244,294,6
1441,244,295,6
1442,244,303,7
1443,244,304,6
1444,244,305,6
1445,244,306,6
1446,244,308,6
1447,244,309,6
1448,244,311,6
1449,244,312,6
1450,244,314,6
1451,244,317,5
1452,244,319,6
1453,244,326,6
1454,244,327,6
1455,244,329,6
1456,244,330,6
1457,244,332,7
1458,244,334,6
1459,244,337,6
1460,244,339,6
1461,244,342,7
1462,244,343,6
1463,244,344,6
1464,244,346,6
1465,244,351,6
1466,244,356,6
1467,244,357,7
1468,244,360,6
1469,244,362,6
1470,244,364,7
1471,244,365,6
1472,244,366,6
1473,244,367,6
1474,244,368,6
1475,244,369,6
1476,244,370,7
1477,244,373,6
1478,244,378,6
1479,244,381,7
1480,244,387,6
1481,244,388,6
1482,244,389,6
1483,244,391,7
1484,244,394,6
1485,244,398,6
1486,244,401,7
1487,244,403,7
1488,244,404,6
1489,244,405,6
1490,244,407,6
1491,244,409,6
1492,244,411,7
1493,244,412,6
1494,244,413,6
1495,244,415,6
1496,244,416,5
1497,244,417,5
1498,244,418,6
1499,244,420,6
1500,244,422,7
1501,244,428,6
1502,244,429,6
1503,244,430,6
1504,244,431,6
1505,244,432,7
1506,244,433,6
1507,244,435,6
1508,244,441,6
1509,244,445,7
1510,244,447,6
1511,244,448,6
1512,244,449,7
1513,244,450,6
1514,244,451,7
1515,244,456,6
1516,244,462,5
1517,244,463,5
1518,244,464,6
1519,244,466,6
1520,244,468,6
1521,244,481,5
1522,244,482,6
1523,244,483,7
1524,244,484,6
1525,244,485,6
1526,244,486,6
1527,244,487,6
1528,244,488,6
1529,244,489,6
1530,244,490,6
1531,244,491,7
1532,244,492,7
1533,244,494,5
1534,244,495,6
1535,244,496,6
1536,244,503,7
1537,244,504,6
1538,244,506,6
1539,244,507,6
1540,244,509,5
1541,244,517,6
1542,244,520,6
1543,244,523,6
1544,244,524,6
1545,244,525,7
1546,244,526,6
1547,244,527,4
1548,244,528,7
1549,244,530,5
1550,244,531,7
1551,244,535,6
1552,244,540,6
1553,244,541,6
1554,244,542,6
1555,244,543,6
1556,244,544,6
1557,244,546,6
1558,244,549,6
1559,244,551,6
1560,244,552,6
1561,245,241,5
1562,245,242,5
1563,245,243,5
1564,245,248,4
1565,245,251,6
1566,245,252,5
1567,245,257,5
1568,245,259,5
1569,245,260,5
1570,245,261,5
1571,245,264,5
1572,245,266,5
1573,245,270,5
1574,245,271,6
1575,245,272,5
1576,245,273,5
1577,245,276,5
1578,245,278,5
1579,245,279,6
1580,245,281,5
1581,245,282,5
1582,245,285,5
1583,245,289,5
1584,245,293,5
1585,245,294,5
1586,245,295,5
1587,245,297,6
1588,245,298,4
1589,245,299,5
1590,245,300,5
1591,245,302,5
1592,245,304,5
1593,245,305,5
1594,245,309,5
1595,245,311,5
1596,245,312,5
1597,245,313,5
1598,245,314,5
1599,245,317,4
1600,245,319,5
1601,245,320,5
1602,245,323,5
1603,245,329,5
1604,245,334,5
1605,245,336,5
1606,245,337,5
1607,245,338,5
1608,245,341,5
1609,245,342,5
1610,245,343,4
1611,245,345,6
1612,245,346,5
1613,245,349,5
1614,245,351,5
1615,245,352,4
1616,245,355,6
1617,245,356,5
1618,245,359,4
1619,245,372,5
1620,245,374,5
1621,245,377,6
1622,245,381,5
1623,245,383,5
1624,245,386,5
1625,245,389,5
1626,245,393,5
1627,245,394,5
1628,245,395,5
1629,245,396,5
1630,245,397,5
1631,245,398,5
1632,245,402,5
1633,245,404,5
1634,245,405,5
1635,245,406,5
1636,245,412,5
1637,245,418,5
1638,245,420,5
1639,245,423,5
1640,245,430,5
1641,245,433,5
1642,245,434,5
1643,245,437,4
1644,245,444,5
1645,245,447,5
1646,245,448,5
1647,245,449,5
1648,245,450,4
1649,245,455,5
1650,245,456,5
1651,245,461,5
1652,245,462,4
1653,245,467,6
1654,245,472,5
1655,245,473,5
1656,245,475,5
1657,245,480,5
1658,245,482,5
1659,245,483,6
1660,245,484,5
1661,245,487,5
1662,245,489,5
1663,245,491,5
